post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47754480,From Pal to Verilog: Writing the A4092 Logic from Scratch,technology,6,0,freediver,2026-04-14 14:52:49,0.0,False
47719740,1D Chess,technology,987,174,burnt-resistor,2026-04-14 14:52:52,0.17611336032388664,True
47758651,Blurry iPhone Text Picture Problem: Is There an Easy Solution I'm Missing?,technology,18,3,andy99,2026-04-14 14:52:54,0.15789473684210525,False
47756231,New Mexico governor signs nation's first universal child care law,technology,27,12,eatonphil,2026-04-14 14:52:56,0.42857142857142855,False
47759541,Tourists to Australia to have social media vetted under Trumpian Coalition,technology,15,11,KnuthIsGod,2026-04-14 14:52:58,0.6875,False
47744540,A perfectable programming language,technology,204,122,yuppiemephisto,2026-04-14 14:53:01,0.5951219512195122,True
47730712,The Problem That Built an Industry,technology,148,49,ShaggyHotDog,2026-04-14 14:53:03,0.3288590604026846,False
47732020,Small models also found the vulnerabilities that Mythos found,technology,1268,340,dominicq,2026-04-14 14:53:05,0.26792750197005516,True
47737376,Phyphox – Physical Experiments Using a Smartphone,technology,254,39,_Microft,2026-04-14 14:53:11,0.15294117647058825,True
47694064,Every plane you see in the sky – you can now follow it from the cockpit in 3D,technology,389,73,coolwulf,2026-04-14 14:53:14,0.18717948717948718,True
47755805,Evaluation of Claude Mythos Preview's cyber capabilities,technology,52,29,dgavey,2026-04-14 14:53:19,0.5471698113207547,False
47742461,IrDA,technology,37,7,Sniffnoy,2026-04-14 14:53:22,0.18421052631578946,False
47731838,Keeping a Postgres Queue Healthy,technology,116,28,tanelpoder,2026-04-14 14:53:26,0.23931623931623933,False
47747595,A Canonical Generalization of OBDD,technology,26,14,luu,2026-04-14 14:53:28,0.5185185185185185,False
47706560,A Tour of Oodi,technology,173,46,zdw,2026-04-14 14:53:30,0.26436781609195403,False
47691730,I ported Mac OS X to the Nintendo Wii,technology,1918,328,blkhp19,2026-04-14 14:53:33,0.1709223553934341,True
47727659,Productive Procrastination,technology,162,50,maxvij,2026-04-14 14:53:37,0.3067484662576687,False
47748314,Programming Used to Be Free,technology,70,71,yeputons,2026-04-14 14:53:40,1.0,False
47702890,How Passive Radar Works,technology,197,57,surprisetalk,2026-04-14 14:53:43,0.2878787878787879,True
47742261,The Triumph of Stupidity (1933),technology,26,1,downbad_,2026-04-14 14:53:44,0.037037037037037035,False
47721955,"OpenClaw’s memory is unreliable, and you don’t know when it will break",technology,164,178,sonink,2026-04-14 14:53:51,1.0787878787878789,False
47697870,LittleSnitch for Linux,technology,1369,456,pluc,2026-04-14 14:53:55,0.33284671532846716,True
47687443,Volunteers turn a fan's recordings of 10K concerts into an online treasure trove,technology,391,76,geox,2026-04-14 14:54:03,0.19387755102040816,True
47759738,Little LaTeX Pearls,technology,7,1,birdculture,2026-04-14 14:54:05,0.125,False
47733561,447 TB/cm² at zero retention energy – atomic-scale memory on fluorographane,technology,263,153,iliatoli,2026-04-14 14:54:06,0.5795454545454546,True
47756737,Shape Grammar,technology,16,0,o4c,2026-04-14 14:54:10,0.0,False
47724118,Installing every* Firefox extension,technology,677,79,RohanAdwankar,2026-04-14 14:54:11,0.11651917404129794,True
47738196,What have been the greatest intellectual achievements? (2017),technology,57,85,o4c,2026-04-14 14:54:15,1.4655172413793103,False
47714273,Penguin 'Toxicologists' Find PFAS Chemicals in Remote Patagonia,technology,165,80,giuliomagnifico,2026-04-14 14:54:16,0.4819277108433735,False
47733521,Dark Castle,technology,246,33,evo_9,2026-04-14 14:54:18,0.13360323886639677,True
47700556,The Zettelkasten method in Obsidian,technology,117,70,rkrizanovskis,2026-04-14 14:54:21,0.5932203389830508,False
47719942,WireGuard makes new Windows release following Microsoft signing resolution,technology,548,165,zx2c4,2026-04-14 14:54:23,0.3005464480874317,True
47719968,Compute iOS XNU offset from kernel cache,technology,34,0,tonygo,2026-04-14 14:54:26,0.0,False
47730981,"The future of everything is lies, I guess – Part 5: Annoyances",technology,280,167,aphyr,2026-04-14 14:54:27,0.594306049822064,True
47693559,Surelock: Deadlock-Free Mutexes for Rust,technology,245,80,codetheweb,2026-04-14 14:54:29,0.3252032520325203,True
47760925,"Hacker compromises A16Z-backed phone farm, calling them the 'antichrist'",technology,145,37,wibbily,2026-04-14 14:54:31,0.2534246575342466,False
47697722,Previously unknown verses by Empedocles found on papyrus,technology,85,21,danielam,2026-04-14 14:54:32,0.2441860465116279,False
47758802,The Importance of Benchmarks,technology,10,1,FigurativeVoid,2026-04-14 14:54:34,0.09090909090909091,False
47757657,The Perils of an Over-Optimized Life,technology,13,0,jethronethro,2026-04-14 14:54:39,0.0,False
47757509,Zig 0.16 Milestone Completed,technology,18,8,praveer13,2026-04-14 14:54:43,0.42105263157894735,False
47760135,Rewriting Every Syscall in a Linux Binary at Load Time,technology,5,2,riteshnoronha16,2026-04-14 14:54:47,0.3333333333333333,False
47717847,CPU-Z and HWMonitor compromised,technology,406,107,pashadee,2026-04-14 14:54:50,0.2628992628992629,True
47695213,Optimal Strategy for Connect 4,technology,317,32,marvinborner,2026-04-14 14:54:52,0.10062893081761007,True
47720419,Industrial design files for Keychron keyboards and mice,technology,456,147,stingraycharles,2026-04-14 14:55:00,0.32166301969365424,True
47719602,You can't trust macOS Privacy and Security settings,technology,508,169,zdw,2026-04-14 14:55:07,0.3320235756385069,True
47727076,Quien – A better WHOIS lookup tool,technology,100,44,bretthopper,2026-04-14 14:55:08,0.43564356435643564,False
47689793,How much linear memory access is enough?,technology,79,13,PhilipTrettner,2026-04-14 14:55:10,0.1625,False
47737663,Intel Xpress Resurrection: Reviving a Forgotten EISA Beast,technology,28,1,ankitg12,2026-04-14 14:55:12,0.034482758620689655,False
47742790,The Closing of the Frontier,technology,188,132,MindGods,2026-04-14 14:55:15,0.6984126984126984,True
47722562,Nowhere is safe,technology,222,298,sblank,2026-04-14 14:55:20,1.336322869955157,True
47719274,Helium is hard to replace,technology,376,269,JumpCrisscross,2026-04-14 14:55:21,0.713527851458886,True
47756711,"From Panthor to RK3588: Advancing graphics, video and SoC support in Kernel 7.0",technology,12,0,losgehts,2026-04-14 14:55:23,0.0,False
